AreaName,AreaCode,AreaLevel,AreaSort,IsLocalArea
Welwyn Hatfield,E07000241,Local authority,368,True
West Berkshire,E06000037,Local authority,369,True
West Devon,E07000047,Local authority,370,True
West Dunbartonshire,S12000039,Local authority,371,True
West Lancashire,E07000127,Local authority,372,True
West Lindsey,E07000142,Local authority,373,True
West Lothian,S12000040,Local authority,374,True
West Northamptonshire,E06000062,Local authority,375,True
West Oxfordshire,E07000181,Local authority,376,True
West Suffolk,E07000245,Local authority,377,True
Westminster,E09000033,Local authority,378,True
Westmorland and Furness,E06000064,Local authority,379,True
Wigan,E08000010,Local authority,380,True
Wiltshire,E06000054,Local authority,381,True
Winchester,E07000094,Local authority,382,True
Windsor and Maidenhead,E06000040,Local authority,383,True
Wirral,E08000015,Local authority,384,True
Woking,E07000217,Local authority,385,True
Wokingham,E06000041,Local authority,386,True
Wolverhampton,E08000031,Local authority,387,True
Worcester,E07000237,Local authority,388,True
Worthing,E07000229,Local authority,389,True
Wrexham,W06000006,Local authority,390,True
Wychavon,E07000238,Local authority,391,True
Wycombe,E07000007,Local authority,392,True
Wyre,E07000128,Local authority,393,True
Wyre Forest,E07000239,Local authority,394,True
York,E06000014,Local authority,395,True
England and Wales,K04000001,National aggregate,1,False
Great Britain,K03000001,National aggregate,2,False
United Kingdom,K02000001,National aggregate,3,False
Inner London,E13000001,Other,1,False
Outer London,E13000002,Other,2,False
East,E12000006,Region,1,False
East Midlands,E12000004,Region,2,False
London,E12000007,Region,3,False
North East,E12000001,Region,4,False
North West,E12000002,Region,5,False
South East,E12000008,Region,6,False
South West,E12000009,Region,7,False
West Midlands,E12000005,Region,8,False
Yorkshire and The Humber,E12000003,Region,9,False
